service_id,date,exception_type
ba8a3d72-eb6f-4787-afe9-4369420c5aa0,20161124,1
a7badaf7-5e70-48a1-a1e7-16896bd58cef,20161207,1
a7badaf7-5e70-48a1-a1e7-16896bd58cef,20161031,1
81ffce56-5294-48f9-b870-e510c336fbb1,20161125,1
b71be945-f50e-4364-bf1f-6b7bc90a7769,20161110,1
a7badaf7-5e70-48a1-a1e7-16896bd58cef,20161107,1
db65d240-3584-4366-8c42-faf0370442cd,20161127,1
a7badaf7-5e70-48a1-a1e7-16896bd58cef,20161024,1
a3c2dfaa-9e17-4e52-a6a6-15f5d18690f8,20161113,1
b71be945-f50e-4364-bf1f-6b7bc90a7769,20161201,1
db65d240-3584-4366-8c42-faf0370442cd,20161009,1
b71be945-f50e-4364-bf1f-6b7bc90a7769,20161208,1
a7badaf7-5e70-48a1-a1e7-16896bd58cef,20161102,1
c2268ce8-2e2c-4ab3-a9c0-8720c84ad706,20161015,1
c2268ce8-2e2c-4ab3-a9c0-8720c84ad706,20161112,1
c2268ce8-2e2c-4ab3-a9c0-8720c84ad706,20161022,1
a7badaf7-5e70-48a1-a1e7-16896bd58cef,20161205,1
b71be945-f50e-4364-bf1f-6b7bc90a7769,20161027,1
a7badaf7-5e70-48a1-a1e7-16896bd58cef,20161130,1
81ffce56-5294-48f9-b870-e510c336fbb1,20161011,1
b71be945-f50e-4364-bf1f-6b7bc90a7769,20161103,1
a3c2dfaa-9e17-4e52-a6a6-15f5d18690f8,20161023,1
b71be945-f50e-4364-bf1f-6b7bc90a7769,20161020,1
f1eabeb2-f736-4baa-b241-725acb8c3e78,20161126,1
a7badaf7-5e70-48a1-a1e7-16896bd58cef,20161017,1
a3c2dfaa-9e17-4e52-a6a6-15f5d18690f8,20161120,1
a7badaf7-5e70-48a1-a1e7-16896bd58cef,20161206,1
a7badaf7-5e70-48a1-a1e7-16896bd58cef,20161101,1
b71be945-f50e-4364-bf1f-6b7bc90a7769,20161013,1
f1eabeb2-f736-4baa-b241-725acb8c3e78,20161008,1
a7badaf7-5e70-48a1-a1e7-16896bd58cef,20161108,1
b71be945-f50e-4364-bf1f-6b7bc90a7769,20161104,1
a3c2dfaa-9e17-4e52-a6a6-15f5d18690f8,20161030,1
c2268ce8-2e2c-4ab3-a9c0-8720c84ad706,20161029,1
a7badaf7-5e70-48a1-a1e7-16896bd58cef,20161128,1
a3c2dfaa-9e17-4e52-a6a6-15f5d18690f8,20161106,1
a3c2dfaa-9e17-4e52-a6a6-15f5d18690f8,20161204,1
b71be945-f50e-4364-bf1f-6b7bc90a7769,20161007,1
a7badaf7-5e70-48a1-a1e7-16896bd58cef,20161026,1
a7badaf7-5e70-48a1-a1e7-16896bd58cef,20161109,1
b71be945-f50e-4364-bf1f-6b7bc90a7769,20161209,1
a7badaf7-5e70-48a1-a1e7-16896bd58cef,20161005,1
a3c2dfaa-9e17-4e52-a6a6-15f5d18690f8,20161211,1
a7badaf7-5e70-48a1-a1e7-16896bd58cef,20161025,1
a7badaf7-5e70-48a1-a1e7-16896bd58cef,20161116,1
c2268ce8-2e2c-4ab3-a9c0-8720c84ad706,20161105,1
b71be945-f50e-4364-bf1f-6b7bc90a7769,20161021,1
b71be945-f50e-4364-bf1f-6b7bc90a7769,20161202,1
a7badaf7-5e70-48a1-a1e7-16896bd58cef,20161114,1
c2268ce8-2e2c-4ab3-a9c0-8720c84ad706,20161119,1
a7badaf7-5e70-48a1-a1e7-16896bd58cef,20161115,1
a7badaf7-5e70-48a1-a1e7-16896bd58cef,20161122,1
a7badaf7-5e70-48a1-a1e7-16896bd58cef,20161129,1
b71be945-f50e-4364-bf1f-6b7bc90a7769,20161006,1
a7badaf7-5e70-48a1-a1e7-16896bd58cef,20161003,1
b71be945-f50e-4364-bf1f-6b7bc90a7769,20161014,1
b71be945-f50e-4364-bf1f-6b7bc90a7769,20161118,1
81ffce56-5294-48f9-b870-e510c336fbb1,20161123,1
b71be945-f50e-4364-bf1f-6b7bc90a7769,20161111,1
c2268ce8-2e2c-4ab3-a9c0-8720c84ad706,20161203,1
a7badaf7-5e70-48a1-a1e7-16896bd58cef,20161121,1
a7badaf7-5e70-48a1-a1e7-16896bd58cef,20161018,1
a7badaf7-5e70-48a1-a1e7-16896bd58cef,20161019,1
a7badaf7-5e70-48a1-a1e7-16896bd58cef,20161004,1
b71be945-f50e-4364-bf1f-6b7bc90a7769,20161117,1
a7badaf7-5e70-48a1-a1e7-16896bd58cef,20161012,1
c2268ce8-2e2c-4ab3-a9c0-8720c84ad706,20161210,1
a3c2dfaa-9e17-4e52-a6a6-15f5d18690f8,20161016,1
81ffce56-5294-48f9-b870-e510c336fbb1,20161010,1
b71be945-f50e-4364-bf1f-6b7bc90a7769,20161028,1
