route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
f6f23df7-ffc1-42a7-9d2d-8a383a137929,b71be945-f50e-4364-bf1f-6b7bc90a7769,d766075d-4adb-405f-aaac-0e810128972e,06f74db6-9086-4f2c-8f2c-981b5c5a5a1a,"Tippecanoe Mall to CityBus Center",0,5d329973-1a85-4c98-ac1b-90cfc4505db2
89b25b67-87df-413b-82b1-003f39e52665,c2268ce8-2e2c-4ab3-a9c0-8720c84ad706,716714fb-d02b-48d5-b1ce-d20cbaa8e5ad,17a88b33-a925-4f57-921d-3888aab37911,"Salisbury to CityBus Center",0,90b3fadf-0a31-4219-a7f6-c3fd16ab36f8
530043d6-a2a6-43f9-be35-b11cf91743bc,c2268ce8-2e2c-4ab3-a9c0-8720c84ad706,6693b90b-22a3-4f96-84bd-42a6191447bf,37cbb5a5-e7d4-4969-be0f-fa4e187d8fc3,"Market Square to CityBus Center",1,52a7abee-b302-4d1a-b0b8-6957c80855b0
f6f23df7-ffc1-42a7-9d2d-8a383a137929,b71be945-f50e-4364-bf1f-6b7bc90a7769,f50058bd-87d3-4314-9bbf-c269e5ebade6,06f74db6-9086-4f2c-8f2c-981b5c5a5a1a,"Tippecanoe Mall to CityBus Center",0,8ef41a3d-80bd-4a64-937f-b1dc59136291
87f0662c-8578-408d-b29b-89bc2e64cce9,a7badaf7-5e70-48a1-a1e7-16896bd58cef,058410df-cb52-4feb-8a16-6ae7b9fa5520,63fef74e-f48d-4147-b8e0-4e1d568310ae,"4th Street to CityBus Center",1,b7039b81-d27b-4dcc-9b03-31bf4a1dba12
f9f6f42f-13ff-4326-8592-5e205b0eeb6b,b71be945-f50e-4364-bf1f-6b7bc90a7769,00129257-e747-4ae6-9c81-f187460852da,828c66cd-6de9-4f27-b1f7-75fc65645064,"CityBus Center to Walmart & Meijer",1,b309884d-9c80-44e4-b78d-410b13f4de1b
f9f6f42f-13ff-4326-8592-5e205b0eeb6b,81ffce56-5294-48f9-b870-e510c336fbb1,c867b142-a547-46ce-988c-486467c06419,fbdfcfea-3655-4b8d-9f1d-54ff2f64bbc8,"South St to CityBus Center",0,61634df4-fec1-455d-84d9-d070fe96f032
e8784ff3-a2c2-45c3-aacb-5231944bc761,a7badaf7-5e70-48a1-a1e7-16896bd58cef,b004b940-61bd-44a9-b9ee-cf21d010b4da,f7679137-7008-44ce-852b-e6e64ff36224,"Happy Hollow from Kalberer & River Rd & PMU",1,65dc0932-f5bf-4ff5-8754-0ad96dfbcc21
f9f6f42f-13ff-4326-8592-5e205b0eeb6b,b71be945-f50e-4364-bf1f-6b7bc90a7769,261825df-521f-4f6d-ae95-6f289c7628f6,828c66cd-6de9-4f27-b1f7-75fc65645064,"CityBus Center to Walmart & Meijer",1,b309884d-9c80-44e4-b78d-410b13f4de1b
f6f23df7-ffc1-42a7-9d2d-8a383a137929,a3c2dfaa-9e17-4e52-a6a6-15f5d18690f8,12810804-14ca-41d3-8234-bee3fae00be4,06f74db6-9086-4f2c-8f2c-981b5c5a5a1a,"Tippecanoe Mall to CityBus Center",0,52d16e10-e38e-49ef-b4bf-72713cb48e74
35fd93f1-05f6-4e70-acac-d4731d9542bc,f1eabeb2-f736-4baa-b241-725acb8c3e78,fdaf0486-76ef-471b-a7e8-b523e6ea0051,b5ead823-3c19-4d85-b487-03c38faadf38,"Union to CityBus Center",1,2fc18eb1-2099-4835-9ed2-0e840a8b92e5
5dda9dcd-6fde-4700-9d66-5d3d73872adc,81ffce56-5294-48f9-b870-e510c336fbb1,e4d6bc2e-ed5f-4812-bce7-94aad55be80b,92573703-921e-4232-b2c7-3c8b2b1f8a4a,"Purdue West to Campus & CityBus Center",1,1cbe32c7-2c9d-488d-9e83-2950eaaf9b4a
df6be418-4504-4a4e-84db-262314a5d83d,a7badaf7-5e70-48a1-a1e7-16896bd58cef,2bde9f0b-0eb1-4294-a7bd-39bb2585acb3,53d05c93-4a7e-43d7-9dea-353b06f02a04,"Connector to Lilly Hall & Downtown Lafayette",1,7071b1a8-da8d-407c-b4de-097bfdac6fa3
530043d6-a2a6-43f9-be35-b11cf91743bc,81ffce56-5294-48f9-b870-e510c336fbb1,07c0430e-75ec-4cec-bc1b-8aef2f5115c6,c3b28356-ec91-45f0-b1ac-5cc5d27bda06,"Market Square to Tippecanoe Mall",0,afc9b170-1bff-4b16-ba85-fbf48ce00df4
87f0662c-8578-408d-b29b-89bc2e64cce9,b71be945-f50e-4364-bf1f-6b7bc90a7769,18c3ddb8-ca38-4f8f-85ec-38ee5a64d171,b9ab1d88-7011-46c9-a563-b58810a0eb30,"4th Street to CityBus Center",1,30d998bb-b156-4184-b4a4-4ff01a9a684e
9507e8fc-dc72-4262-9bc3-b44a4cd9e466,a7badaf7-5e70-48a1-a1e7-16896bd58cef,55a2559b-298b-4d74-8937-9977ca5c4c6b,d8bebeb5-1c54-4eee-b5b0-cdd545d80539,"Park East to  Park East Blvd, IU Hospital",1,333b59be-9b66-4f2d-8001-bd9018d9b612
df6be418-4504-4a4e-84db-262314a5d83d,81ffce56-5294-48f9-b870-e510c336fbb1,fcf1aafa-25f7-4ecd-9bb9-d2f70ea29637,53d05c93-4a7e-43d7-9dea-353b06f02a04,"Connector to Lilly Hall & Downtown Lafayette",1,9d86b263-3ec9-4b87-8237-0597dd6039a6
6cfac98b-118b-4cea-985f-010d6a53d05b,b71be945-f50e-4364-bf1f-6b7bc90a7769,2f8c56d9-60ca-4bdd-a40d-93b446fd2b6f,0428a67a-0ab2-456c-8003-cc3a09250507,"Black Loop from Tower Acres to Campus",0,0b8ce03d-3860-42e6-8ef9-60a0cdf337e6
617e32b0-900c-4a4c-a049-4c82422ccdf2,a7badaf7-5e70-48a1-a1e7-16896bd58cef,430e4b37-30d8-4ade-881b-118dff038d2b,f74e88b8-ee5b-417b-b2af-748b8bb4505f,"Silver Loop to/from Dorms & Dining Halls & Campus",0,a3c94dc7-ed39-431d-8388-dd1432d53357
89b25b67-87df-413b-82b1-003f39e52665,a3c2dfaa-9e17-4e52-a6a6-15f5d18690f8,36927f51-b55b-498a-8444-efe124282a6e,c8c7121c-616c-47b6-bed0-eb56731f9a8a,"Salisbury to CityBus Center",0,2ed259dd-15d9-433b-bfda-26205642cd74
cf0bae5f-509a-4e64-83ce-58e219ac2117,a7badaf7-5e70-48a1-a1e7-16896bd58cef,fb7879fe-2318-4830-b29e-3b3b090e7930,a3f7e3bc-9116-47f6-995a-36eb8b0bd3a7,"to ",0,a3002ec6-25a2-4127-b31f-8d6d55394d67
f87f7512-b0fb-4296-92e6-4cfd19a2ef0a,f1eabeb2-f736-4baa-b241-725acb8c3e78,3e308436-67a3-427b-a3c6-08d39c888f27,3c7051e7-8a7b-4508-a68f-e3e309d32839,"South 9th Street to CityBus Center",0,fa6190e7-09a5-4389-882e-6bbab6953b58
df6be418-4504-4a4e-84db-262314a5d83d,a7badaf7-5e70-48a1-a1e7-16896bd58cef,84e9fd53-db2a-4fab-acf9-cde7869ade3f,53d05c93-4a7e-43d7-9dea-353b06f02a04,"Connector to Lilly Hall & Downtown Lafayette",1,7071b1a8-da8d-407c-b4de-097bfdac6fa3
43c32665-1947-4a28-8041-3f68feab4a2e,b71be945-f50e-4364-bf1f-6b7bc90a7769,00c61074-5929-4ecc-b430-18df1e3aeed5,9daca57c-6552-4bc9-ad4e-ada819b856c3,"Tower Acres Loop from Campus to Tower Acres",1,95b5e1d3-322b-40a3-aa5f-6d6d6a6242e6
35fd93f1-05f6-4e70-acac-d4731d9542bc,a7badaf7-5e70-48a1-a1e7-16896bd58cef,11ae998e-4f6a-40be-9e64-6f1393811c4c,3eac3341-ba0a-4fa5-b25c-290b2f8f9e7f,"Union to Union St & Underwood St (+Howarth Center)",0,93e7393b-3b99-47f2-80d8-936cdf1332eb
859ef4b8-cf3a-4a8f-ae1f-60ac8a4a3e0b,a7badaf7-5e70-48a1-a1e7-16896bd58cef,afd45b64-9320-409d-8d38-c5dd4f49ddd4,9766b88d-ec1c-4c84-b855-88314087989a,"Bronze Loop from Campus to Riverwalk",1,439ee371-7ba1-43b5-bdfa-fe1baf5ca94e
a58524c6-1012-4a58-a65d-9ca2cd2b10d4,db65d240-3584-4366-8c42-faf0370442cd,eeeaf7f7-2bea-44f9-b2ba-bca5234c7dba,3ee56318-fb12-4080-b885-3f00f42c3889,"Lafayette Square to CityBus Center",0,d05210a2-4e64-4b2e-adab-d65dd5083543
43c32665-1947-4a28-8041-3f68feab4a2e,a7badaf7-5e70-48a1-a1e7-16896bd58cef,d0d5858d-991f-4a8f-9b3e-1000466d15eb,9daca57c-6552-4bc9-ad4e-ada819b856c3,"Tower Acres Loop from Campus to Tower Acres",1,56c68a2f-c47a-4076-8711-5ca8d9559c21
89b25b67-87df-413b-82b1-003f39e52665,a7badaf7-5e70-48a1-a1e7-16896bd58cef,68928edf-52d6-4491-ba41-3c10e6a13fa0,c8c7121c-616c-47b6-bed0-eb56731f9a8a,"Salisbury to CityBus Center",0,9ab07e50-f5f5-4b56-b814-d2c2eba173d8
530043d6-a2a6-43f9-be35-b11cf91743bc,81ffce56-5294-48f9-b870-e510c336fbb1,0cfa7173-a9dd-4358-9e7a-c503945132f5,37cbb5a5-e7d4-4969-be0f-fa4e187d8fc3,"Market Square to CityBus Center",1,1cbe32c7-2c9d-488d-9e83-2950eaaf9b4a
9507e8fc-dc72-4262-9bc3-b44a4cd9e466,a7badaf7-5e70-48a1-a1e7-16896bd58cef,363e1ec7-c26a-4cb7-b0cb-a92b53e0a5d1,d8bebeb5-1c54-4eee-b5b0-cdd545d80539,"Park East to  Park East Blvd, IU Hospital",1,333b59be-9b66-4f2d-8001-bd9018d9b612
