stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type
6ca4b24e-eb1e-402d-912d-48296d129faa,"BUS862","15th St & Ball St (NW Corner) - BUS862","",40.4332974811374,-86.8814745176717,0
ed3d95d7-3d26-47d5-b85d-35e573c3a899,"BUS348","15th St & Greenbush St (NW Corner) - BUS348","",40.4321749765977,-86.8814450133708,0
86b2646e-ca27-47c0-b930-edcb205dbf9e,"BUS508SW","14th St & Greenbush St (South of) - BUS508SW","",40.4319939274784,-86.8823556233856,0
8770d6f8-5d07-4cae-86ca-6d2a2dc79d54,"BUS787","14th St & Howell St (NW Corner) - BUS787","",40.4303001123846,-86.8823314835031,0
37b35cd5-1634-4388-9124-3875ba9a8b58,"BUS786","St Anthony Health Care - BUS786","",40.4291132348247,-86.8823301423985,0
e167989f-21b8-4a75-91e5-2804ec6279df,"BUS546N","14th St & Hartford St (NW Corner) - BUS546N","",40.4278069989566,-86.8823274601893,0
b3313ea5-eb97-499a-aec4-e2ae185a1049,"BUS842","Village Pantry on Salem St - BUS842","",40.4257966831801,-86.8824427951838,0
c5df9a0a-23e2-4b25-b1cd-eae4bff5bbac,"BUS843","Salem St & 11th St (NE Corner) - BUS843","",40.4257349923691,-86.8845188250851,0
109c28e7-483d-4dc2-9a38-d5a94f4c7489,"BUS367NW","9th St & Union St (NW Corner @ Shelter) - BUS367NW","",40.424743916079,-86.8869757286892,0
208a3d24-5385-489a-b6e1-7d8775a103b1,"BUS783NW","9th St & Cincinnati St (NW Corner) - BUS783NW","",40.4228060199503,-86.8869609765387,0
723034a6-23cc-464b-b212-946b0ab80761,"BUS220NW","Brown St & 9th St (NW Corner) - BUS220NW","",40.4218980921446,-86.8869542710158,0
0180e93b-7a75-424b-92f8-50311cc69976,"BUS748","Brown St & 7th St (NE Corner) - BUS748","",40.4218954099354,-86.8892971807299,0
a5d7836a-93e7-45e2-bf69-8ee59bcedf80,"BUS410NE","Brown St & 6th St (NE Corner) - BUS410NE","",40.4218793166804,-86.8906181687485,0
09d6b281-b16c-4043-aa26-00e515a00508,"BUS492","Brown St & 4th St (NE Corner) - BUS492","",40.4218417657519,-86.8931032355489,0
0ef78f9a-fbbd-4bd8-9ee1-ab1dced95119,"BUS939","South St & 16th St (SW Corner) - BUS939","",40.4172444592264,-86.8786796557116,0
b6b61809-0ef8-484c-8b63-ad832f60a5a2,"BUS391NW","Alabama St & Main St (NW Corner) - BUS391NW","""Alabama St & Main St (NW Corner) BUS391NW""",40.4164760062978,-86.8777328358729,0
d84a65f3-ac42-4758-88a2-c91b5fb9d2a0,"BUS444SW","Main St & Jackson St (SW Corner) - BUS444SW","",40.4153079042022,-86.8764091656452,0
548211ae-94af-453b-9b6d-b931cbda6282,"BUS482NW","Main St & Scott St (NW) - BUS482NW","",40.4138300069469,-86.874748878166,0
5ef927ac-1a8c-4144-b376-39500984bcb7,"BUS947","Main St & Congress St (North of) - BUS947","",40.4114777095006,-86.8721793217766,0
5d9ee6a4-f23b-420e-be76-362b24df63e8,"BUS216W","Main St & 24th St (West of) - BUS216W","",40.4095907753462,-86.870029531123,0
a8291d4d-9427-44ea-897c-2540e9a208df,"BUS663SE","Main St & 25th St (Southeast of) - BUS663SE","",40.4075455908504,-86.8672963599739,0
6089c983-e2cb-4699-a1ff-b77d231b8521,"BUS664SE","Main St & 28th St (Southeast of) - BUS664SE","",40.4059255365089,-86.8650580564176,0
f881a2ed-647b-442b-afbb-9e020167ec64,"BUS531SW","Main St & Earl Ave (SW Corner) - BUS531SW","",40.4048446062115,-86.8636230745091,0
